Меркурий,2439.7,3.304E+23,0,0.39,mercury.png
Венера,6051.8,4.872E+24,0,0.72,venera.jpg
Земля,6371,5.978E+24,1,1,earth.jpg
Марс,3389.5,6.423E+24,2,1.52,mars.jpg
Юпитер,69911,1.9E+23,16,5.2,upiter.jpg
Сатурн,58232,5.689E+26,30,9.54,saturn.png
Уран,25362,8.72E+25,15,19.19,uran.jpg
Нептун,24622,1.03E+26,6,30.07,neptun.jpg
