1,Меркурий,2439.7,каменная,3.304E+23,0,0.39,mercury.png
2,Венера,6051.8,каменная,4.872E+24,0,0.72,venera.jpg
3,Земля,6371,каменная,5.978E+24,1,1,earth.jpg
4,Марс,3389.5,каменная,6.423E+24,2,1.52,mars.jpg
5,Юпитер,69911,"газовый гигант",1.9E+23,16,5.2,upiter.jpg
6,Сатурн,58232,"газовый гигант",5.689E+26,30,9.54,saturn.png
7,Уран,25362,"ледяной гигант",8.72E+25,15,19.19,uran.jpg
8,Нептун,24622,"ледяной гигант",1.03E+26,6,30.07,neptun.jpg
